code	text
10#18	 Located on main road
10#20	Year of construction
10#24	Garden (m²)
10#25	 Terrace (m²)
10#30	Year of most recent renovation
10#40	Annexe (s)
10#50	Number of floors (main building)
10#56	Connecting rooms
10#60	Number of floors (annexe)
10#70	Total number of rooms
10#80	Single rooms
10#90	Double rooms
10#95	Junior suites
10#100	Suites
10#110	Apartments
10#115	Studios
10#120	Bungalows
10#123	Villas
10#124	Disability-friendly rooms
10#126	Triple rooms
10#127	Quadruple rooms
10#128	Executive rooms
10#129	Superior rooms
10#131	Family rooms
10#132	Twin rooms
10#998	YES Connecting rooms
10#2091	 Quiet location
10#2251	 Adults-only hotel
20#10	hotel
20#25	aparthotel
20#31	 City Hotel
20#32	 Beach Hotel
20#30	apartment
20#34	 Bungalow Complex
20#50	guest house
20#36	 Country House
20#38	 Ski Hotel 
20#39	 Club Resort
20#40	 Finca
20#41	 Village
20#42	 Spa Hotel
20#43	 Golf Hotel
20#44	 Casino Resort
20#45	 Airport Hotel
20#46	 Eco Hotel
20#380	luxurious historic hotel
20#48	 Conference Hotel
20#160	hostel
20#49	 Hotel de Charme
20#60	rural house
20#70	resort
20#51	 Mountain Hotel
20#52	 Mountain Hut
20#202	 Family-friendly Hotel
20#220	lodge
20#250	camping
20#260	botel
20#270	cruise
20#300	vacation condo or apartment
20#310	vacation home or villa
20#320	vacation townhouse
20#330	vacation resort
20#340	riad
20#350	motel
20#360	bed and breakfast
20#370	boutique hotel
20#203	 Business Hotel
20#390	pousada
20#400	residence
20#410	rural hotel
20#420	boat
30#10	American Express
30#60	Visa
30#50	MasterCard
30#40	Diners Club
30#30	JCB
30#20	EC
30#80	Maestro
30#90	Visa ElectrÃ³n
30#110	EuroCard
30#115	Euro 6000
40#10	City centre
40#20	Nearest Bus / Metro Stop
40#1002	 Tourist Centre
40#70	Harbour
40#80	Airport
40#125	Entertainment Area
40#40	Beach
40#145	Bus/Train station
40#1004	 Sea
40#1005	 Lake
40#1006	 River
40#1007	 Forest
40#1008	 Park
40#1009	 Shopping opportunities
40#1010	 Restaurants
40#1011	 Bars / Pubs
40#1012	 Nightclub
40#130	Golf course
40#1014	 Public Transport
40#1015	 Bus Station
40#1016	 Train Station
40#160	Ski slopes
40#1018	 Ski Lift
40#1019	 Cross-Country Skiing
40#1020	 Underground/Over ground Station
60#10	Bathroom
60#11	Private external bathroom
60#20	Shower
60#30	Bathtub
60#109	 Bidet
60#40	Hairdryer
60#50	Direct dial telephone
60#289	Cable TV
60#314	Garden
60#80	Radio
60#90	Hi-fi
60#100	Internet access
60#110	Kitchenette
60#111	Kitchen utensils, plates & cups
60#115	Kitchen
60#120	Minibar
60#130	Fridge
60#119	 King-size Bed
60#121	 Tiling
60#160	Carpeted floors
60#170	Centrally regulated air conditioning
60#190	Central heating
60#135	Mini fridge
60#313	Indoor swimming pool
60#137	Cooker
60#306	Outdoor swimming pool
60#200	Safe
60#125	 Final Cleaning
60#126	 Lounge
60#147	Ironing set
60#127	 Balcony/Terrace
60#55	TV
60#205	 Double Bed
60#180	Individually adjustable air conditioning
60#195	Individually adjustable heating 
60#319	Oven
60#140	Microwave
60#220	Living room
60#230	Balcony
60#231	French Balcony
60#240	Terrace
60#143	Tea and coffee making facilities 
60#260	Disability-friendly bathroom
60#261	Wi-fi
60#262	Wake-up service
60#263	Pillow menu
60#264	Cot on demand
60#265	Bluetooth speaker
60#266	Turndown service
60#268	220V power supply
60#269	Hydro-massage bath
60#270	CD player 
60#271	DVD player
60#272	Pay movies
60#273	Alarm clock
60#274	Video games console
60#275	Extra beds on demand
60#276	Toiletries
60#277	Background music
60#279	Desk
60#280	Bathrobes
60#281	Slippers
60#282	Make-up mirror
60#283	Trouser press
60#285	Welcome pack
60#286	Fan
60#287	Smoking rooms
60#288	Satellite TV 
60#145	Washing machine
60#290	Dishwasher
60#315	Game room
60#292	Plug adaptor
60#293	Towel menu
60#295	Room size (sqm)
60#296	Fireplace
60#297	Smoke detector
60#298	Number of bedrooms
60#299	Shared bathroom
60#300	Housekeeping
60#301	Oxygen enrichment
60#302	Children share the bed with parents
60#303	Soundproof room
60#304	Telephone in the bathroom
60#305	Hot tub
60#307	Sauna
60#308	Fitness room
60#309	Billiards
60#310	Turkish steam bath
60#312	Solarium
60#316	Darts
60#317	Children playground
60#318	Toaster
60#250	Wheelchair-accessible
60#320	Dining Area
60#321	Clothes Dryer
60#322	BBQ Facilities
60#323	Ski to Door Acces
60#324	Grill/BBQ
60#325	Ski Storage
60#311	Table tennis
60#326	Private Pool
60#327	Towels and bed linen at surcharge
60#328	Private Beach Area
60#329	Library
60#330	Electric Kettle
60#331	Bikes Available
60#332	Without windows
61#1	Single bed 80-130 width
61#150	Double bed 131-150 width
61#155	King-size bed 150-183 width
61#284	Sofa bed
61#294	Queen-size bed 150-154 width
61#992	Rollaways on demand
61#993	Bunk beds
62#1	Single bed 80-130 width
62#150	Double bed 131-150 width
62#155	King-size bed 150-183 width
62#284	Sofa bed
62#294	Queen-size bed 150-154 width
62#992	Rollaways on demand
62#993	Bunk beds
70#10	Air conditioning in public areas
70#11	Fireplace
70#12	Smoke detector
70#67	 Air conditioning
70#68	 Lobby
70#30	24-hour reception
70#71	 24-hour check-in
70#40	Hotel safe
70#50	Currency exchange facilities
70#60	Cloakroom
70#74	 Foyer
70#70	Lift access
70#90	Newspaper stand
70#78	 Small supermarket
70#110	Shop
70#80	 Hairdresser
70#81	 Bar(s)
70#84	 Theatre
70#430	Sun terrace
70#88	 Restaurant(s)
70#89	 Restaurant(s) with air conditioning 
70#93	 Restaurant(s) with non-smoking area
70#91	 Restaurant(s) with high-chairs
70#240	Mobile phone coverage
70#94	 Internet access
70#470	Gym
70#95	 WLAN access
70#100	Supermarket
70#270	Room service
70#280	Laundry service
70#290	Medical service
70#125	Garden
70#135	Terrace
70#300	Bicycle storage
70#210	Key Collection
70#310	Bicycle hire service
70#320	Car park
70#330	Garage
70#250	Wired Internet
70#260	Check-in hour
70#285	Launderette
70#194	 TV Room
70#216	 Restaurant(s) with smoking area
70#217	 Laundry Facilities
70#321	Electric vehicle charging station
70#2053	 Pets
70#390	Check-out hour
