"hotel_id","content"
"102259169","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This hotel is located in Păulestii Noi.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">The friendly staff at the reception desk are happy to answer any questions. Amenities include a baggage storage service, a safe and a cash machine. Wireless internet access (no extra charge) allows guests to stay connected while on holiday. A lift and wheelchair-accessible facilities are available. Everyday necessities can be purchased at the supermarket. The grounds of the hotel feature a playground and a lovely garden. Additional amenities include a TV room and a library. Guests arriving by car can park their vehicles in the car park for no extra charge. Further services and facilities include a transfer service, room service, a hairdresser and a coin-operated laundry. Lectures, presentations and meetings can be held in one of the 8 conference rooms.</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">Air conditioning and central heating ensure that rooms maintain comfortable temperatures. A balcony is included as standard in some rooms. Separate bedrooms are available. Children's beds can be requested for younger guests. A safe and a minibar are also available. Extra comforts include a tea/coffee station. Other features include a telephone, a TV and WiFi. Guests will also find slippers in their rooms. A hairdryer and bathrobes are available in the bathrooms, which are equipped with a shower and a bathtub. Wheelchair-friendly rooms can be booked.</div><div class=""hotel-description-title"">Sports/Entertainment</div>
<div class=""hotel-description-content"">The outdoor pool complex includes a children's swimming area and is ideal for working out or just relaxing. Refreshing drinks at the pool bar and a relaxing soak in the hot tub offer the perfect way to unwind. A short break or an entire afternoon on the sun terrace, which features sun loungers and parasols, is time well spent. For guests who wish to keep active, cycling/mountain biking and tennis are available. Both short- and long-stay guests are welcome to use the amenities available at the hotel, including a gym, billiards and aerobics. Various wellness options are available at the hotel, including a spa, a sauna, a steam bath, a hammam, a beauty salon and massage treatments. Children are well looked after in the kids' club. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">The hotel includes a restaurant and a café. Catering options include half board, full board and all-inclusive. A generous breakfast buffet, lunch and dinner offer plenty of delicious variety.</div>"
"102260355","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This hotel is located in Guarene.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">The hotel has 12 rooms, which are located on 2 storeys and are reachable by lift. The friendly staff at the reception desk are happy to answer any questions. A baggage storage service, a transfer service, room service (limited hours), a laundry service, a conference room, a business centre and a coin-operated laundry are available. Wireless internet access (no extra charge) allows guests to surf the internet and catch up on email. The tour desk offers assistance with booking excursions. The hotel has wheelchair-accessible facilities. A garden provides extra space for rest and relaxation in the open air. Guests arriving by car can park their vehicles in the car park for no extra charge. Daily newspapers are available for purchase.</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">Air conditioning ensures that rooms maintain comfortable temperatures. A minibar is provided. Equipped with a flatscreen television with satellite channels and WiFi (no extra charge), the rooms provide many ways for guests to stay connected and entertained. Slippers are included. Bathrooms are equipped with a bidet and include a hairdryer. As an extra convenience, bathrooms provide cosmetic products. Some of the wheelchair-friendly rooms have a wheelchair-accessible bathroom.</div><div class=""hotel-description-title"">Sports/Entertainment</div>
<div class=""hotel-description-content"">Guests can strike that perfect balance between exercise and relaxation at the indoor pool. Fine weather can be enjoyed on the terrace. The hot tub in the pool area promises pure relaxation. There are many ways to relax or stay active at the hotel, including a gym, a spa, a steam bath and a hammam. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">There is a restaurant on the premises. A delicious breakfast provides energy for the rest of the day.</div><div class=""hotel-description-title"">Payment</div>
<div class=""hotel-description-content"">The hotel accepts the following credit cards: American Express, VISA, Diners Club and MasterCard.</div>"
"102261218","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This hotel is located right in the heart of Milan.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">The hotel has a lift and features 14 non-smoking rooms. The friendly staff at the reception desk are happy to answer any questions. The hotel provides a safe, room service (limited hours), a laundry service, a conference room and a roof terrace. Wireless internet access (no extra charge) allows guests to stay connected while on holiday. The hotel has wheelchair-accessible facilities. Guests arriving by car can park their vehicles in the car park.</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">Air conditioning ensures that rooms maintain just the right temperature. A balcony or terrace is among the standard amenities of some rooms. A safe and a minibar are also available. Guests will also find a tea/coffee station included among the standard features. A telephone, a flatscreen television with satellite channels and WiFi (no extra charge) provide all the essentials for a comfortable holiday. Guests will also find slippers in their rooms. A hairdryer and bathrobes are provided in the bathrooms, which include a shower and a bathtub. For extra comfort in the bathrooms, guests are offered cosmetic products. Wheelchair-friendly rooms with wheelchair-accessible bathrooms are also available.</div><div class=""hotel-description-title"">Sports/Entertainment</div>
<div class=""hotel-description-content"">Fine weather can be enjoyed on the terrace. A wellness area with massage treatments is available at the hotel. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">Dining facilities include a restaurant, a dining room and a bar. A delicious breakfast provides energy for the rest of the day.</div><div class=""hotel-description-title"">Payment</div>
<div class=""hotel-description-content"">The following credit cards are accepted: American Express, VISA, Diners Club, JCB and MasterCard.</div>"
"102261291","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This hotel warmly welcomes guests in Ermington.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">8 rooms are available. The friendly staff at the reception desk are happy to answer any questions. The hotel provides a baggage storage service, a conference room, a coin-operated laundry and a page service. Wireless internet access is provided in public areas (no extra charge). The tour desk offers assistance with booking excursions. A fireplace creates a cosy atmosphere. Guests of the hotel can enjoy various recreational facilities, including the garden, during their stay. Parking spaces are available to guests travelling by car (no extra charge).</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">Features include a desk, a tea/coffee station, a telephone and WiFi (no extra charge). A hairdryer and bathrobes are provided in the bathrooms, which include a shower. For extra comfort in the bathrooms, guests are offered cosmetic products.</div><div class=""hotel-description-title"">Sports/Entertainment</div>
<div class=""hotel-description-content"">Fine weather can be enjoyed on the terrace. A wellness area with a spa is available at the hotel. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">There is a restaurant on the premises. A delicious breakfast provides energy for the rest of the day.</div><div class=""hotel-description-title"">Payment</div>
<div class=""hotel-description-content"">The following credit cards are accepted at the hotel: VISA and MasterCard.</div>"
"102261460","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This accommodation is located in Budapest.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">This accommodation has a lift and a 24-hour reception desk. Services and facilities include a baggage storage service, a safe, a transfer service and a smoke alarm. Wireless internet access allows guests to stay connected while on holiday. Everyday necessities can be purchased at the supermarket. Services include a hotel shuttle bus.</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">Central heating ensures that rooms maintain comfortable temperatures. Extra beds can be requested. A desk is provided. Additional features include a refrigerator, a stovetop, a microwave, a tea/coffee station and a dishwasher. There is also a washing machine and an ironing set. Other features include a television with cable channels, an alarm clock and WiFi. A hairdryer and a vanity mirror are available in the bathrooms, which are equipped with a shower and a bathtub. Cosmetic products ensure additional comfort. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">There is a dining room on the premises.</div>"
"102262108","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This hotel welcomes guests in Samut Prakan.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">This hotel has a lift and a reception desk. Services and facilities include a baggage storage service, a conference room and a coin-operated laundry. Wireless internet access is provided in public areas (no extra charge). Guests arriving by car can park their vehicles in the car park for no extra charge. Complimentary newspapers are available.</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">The rooms include air conditioning, a living area and a bathroom. Guests are sure to get a good night's sleep in the double bed. Guests can also book separate bedrooms. Guests will also find a refrigerator included among the standard features. Equipped with a TV and WiFi, the rooms provide many ways for guests to stay connected and entertained. Bathrooms are equipped with a shower.</div><div class=""hotel-description-title"">Sports/Entertainment</div>
<div class=""hotel-description-content"">The sports and entertainment facilities at the hotel ensure that guests have plenty of activities to choose from during their stay. There are many ways to relax or stay active at the hotel, including a spa and massage treatments. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">The dining area includes a restaurant and a café. A fortifying breakfast is served daily.</div>"
"102263077","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This hotel is located in Paranaque, Metro Manila.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">The hotel has a lift and features 254 rooms. The friendly staff at the reception desk are happy to answer any questions. Amenities include a baggage storage service. Wireless internet access is provided in public areas (no extra charge). The tour desk offers assistance with booking excursions. Wheelchair-accessible facilities are available. There are also a number of shops that make for great strolling and browsing. A garden provides extra space for rest and relaxation in the open air. Parking spaces are available to guests travelling by car (no extra charge). Further services include a transfer service, 24-hour room service, a laundry service, a coin-operated laundry, a page service and a hotel shuttle bus. Complimentary newspapers are available.</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">Rooms are equipped with air conditioning. A minibar and a desk are also available. Guests will also find a tea/coffee station included among the standard features. An ironing set is provided for guests' convenience. A telephone, a television with cable channels and WiFi (no extra charge) are provided as well. Slippers are included. A hairdryer and bathrobes are provided in the bathrooms, which include a shower. For extra comfort in the bathrooms, guests are offered cosmetic products. Wheelchair-friendly rooms with wheelchair-accessible bathrooms are also available.</div><div class=""hotel-description-title"">Sports/Entertainment</div>
<div class=""hotel-description-content"">The hotel provides a number of options for sport and leisure. Guests can enjoy a refreshing swim in the outdoor pool area. The sun loungers are perfect for soaking up some sun. Refreshing drinks are served at the poolside snack bar. There are many ways to relax or stay active at the hotel, including a gym and a spa. A casino and a nightclub round out the entertainment options. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">The dining area includes 3 restaurants and a bar. A fortifying breakfast is served daily.</div><div class=""hotel-description-title"">Payment</div>
<div class=""hotel-description-content"">The following credit cards are accepted: American Express, VISA, JCB and MasterCard.</div>"
"102263692","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">The hotel is located in the Remah desert, in Al-Aïn.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">Guests can enjoy the pleasant ambience of one of the 23 rooms. The friendly staff at the reception desk are happy to answer any questions. Amenities available at the resort include a baggage storage service and a safe. The tour desk offers assistance with booking excursions. Wheelchair-accessible facilities are available. There are also a number of shops that make for great strolling and browsing. Younger guests are sure to enjoy the playground. Additional facilities include a library. Parking spaces are available to guests travelling by car (no extra charge). Other services include a babysitting service, a childcare service, a transfer service, 24-hour room service, a laundry service and a coin-operated laundry. A bicycle hire service provides all the necessary equipment for exploring the surrounding area. Complimentary newspapers are available.</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">Air conditioning ensures that rooms maintain comfortable temperatures. A balcony or terrace is a standard feature of some rooms. Guests are sure to get a good night's sleep in the double bed. A safe, a minibar and a desk are also available. An ironing set is provided for guests' convenience. Other features include a telephone, a TV and WiFi. Slippers are included. A hairdryer and bathrobes are available in the bathrooms, which are equipped with a shower and a bathtub. For extra comfort in the bathrooms, guests are offered cosmetic products. Wheelchair-friendly rooms with wheelchair-accessible bathrooms are also available.</div><div class=""hotel-description-title"">Sports/Entertainment</div>
<div class=""hotel-description-content"">The indoor and outdoor pools are ideal for exercise as well as relaxation. Sun loungers and parasols on the terrace invite guests to relax and unwind. The pool bar serves a selection of refreshing drinks. For guests who wish to keep active, golf and horse riding are available. Sport and leisure facilities at the complex include a gym, table tennis and aerobics. Various wellness options are available at the resort, including a spa, a sauna, a steam bath, a beauty salon and massage treatments. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">The dining area includes a restaurant and a café. Catering options include half board and full board. Breakfast, lunch and dinner offer many delicious options.</div><div class=""hotel-description-title"">Payment</div>
<div class=""hotel-description-content"">The following credit cards are accepted: American Express, VISA and MasterCard.</div>"
"102266408","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This hotel welcomes guests in Ciudad del Este.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">The friendly staff at the reception desk are happy to answer any questions. Services and facilities include a baggage storage service, a safe, a transfer service, a conference room and a business centre. Wireless internet access (no extra charge) allows guests to surf the internet and catch up on email. The tour desk offers assistance with booking excursions. Parking spaces are available to guests travelling by car (no extra charge).</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">The hotel's options for comfortable accommodation ensure a pleasant stay. Internet access comes as standard in the rooms.</div><div class=""hotel-description-title"">Sports/Entertainment</div>
<div class=""hotel-description-content"">Guests can enjoy a refreshing swim in the outdoor pool area. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">A delicious breakfast provides energy for the rest of the day.</div>"
"102267921","<div class=""hotel-description-title"">Location</div>
<div class=""hotel-description-content"">This hotel warmly welcomes guests in Salisbury.</div><div class=""hotel-description-title"">Facilities</div>
<div class=""hotel-description-content"">Guests can enjoy the pleasant ambience of one of the 2 rooms. Multilingual staff are happy to assist and advise. Wireless internet access is provided in public areas (no extra charge). Guests arriving by car can park their vehicles in the car park for no extra charge.</div><div class=""hotel-description-title"">Rooms</div>
<div class=""hotel-description-content"">In some rooms, a terrace provides additional space for relaxation. For guests' convenience, units include a refrigerator, a stovetop and a dishwasher. An ironing set is provided for guests' convenience. Other features include satellite television, a DVD player and WiFi (no extra charge). Bathrooms are equipped with a shower. </div><div class=""hotel-description-title"">Meals</div>
<div class=""hotel-description-content"">A fortifying breakfast is served daily.</div><div class=""hotel-description-title"">Payment</div>
<div class=""hotel-description-content"">All major credit cards, including VISA and MasterCard, are accepted for payment.</div>"
