"hotel_id","facility_code","value"
"102259169","1002#16","5"
"102259169","1002#17","5"
"102259169","70#40",
"102259169","70#70",
"102259169","71#80",
"102259169","70#78",
"102259169","70#80",
"102259169","70#88",
"102259169","72#170","8"
"102259169","70#94",
"102259169","70#95",
"102259169","70#270",
"102259169","70#320",
"102259169","73#340",
"102259169","73#350",
"102259169","70#194",
"102259169","70#217",
"102259169","60#10",
"102259169","60#20",
"102259169","60#30",
"102259169","60#40",
"102259169","60#100",
"102259169","60#120",
"102259169","60#170",
"102259169","60#190",
"102259169","60#200",
"102259169","60#127",
"102259169","60#55",
"102259169","60#143",
"102259169","60#250",
"102259169","80#262",
"102259169","80#261",
"102259169","80#30",
"102259169","80#263",
"102259169","60#306",
"102259169","90#148",
"102259169","73#149",
"102259169","73#395",
"102259169","73#400",
"102259169","90#153",
"102259169","74#420",
"102259169","70#430",
"102259169","74#440",
"102259169","74#450",
"102259169","90#280",
"102259169","70#470",
"102259169","90#320",
"102259169","90#350",
"102259169","90#430",
"102259169","90#198",
"102259169","40#40","300000"
"102259169","91#2486",
"102259169","91#2487",
"102259169","91#2489",
"102259169","91#2491",
"102259169","91#2492",
"102259169","91#2493",
"102259169","91#2509",
"102259169","91#2514",
"102259169","91#2516",
"102259169","91#2519",
"102259169","91#2526",
"102259169","91#2528",
"102260355","1002#16","5"
"102260355","10#50","2"
"102260355","10#70","12"
"102260355","30#10",
"102260355","30#60",
"102260355","30#50",
"102260355","30#40",
"102260355","70#70",
"102260355","70#88",
"102260355","72#170",
"102260355","70#95",
"102260355","70#270",
"102260355","70#280",
"102260355","70#320",
"102260355","70#217",
"102260355","70#2053",
"102260355","60#10",
"102260355","60#109",
"102260355","60#40",
"102260355","60#100",
"102260355","60#120",
"102260355","60#170",
"102260355","60#55",
"102260355","60#250",
"102260355","60#313",
"102260355","90#153",
"102260355","74#440",
"102260355","70#470",
"102260355","91#2487",
"102260355","91#2488",
"102260355","91#2489",
"102260355","91#2490",
"102260355","91#2491",
"102260355","91#2492",
"102260355","91#2493",
"102260355","91#2498",
"102260355","91#2509",
"102260355","91#2514",
"102260355","91#2516",
"102260355","91#2519",
"102260355","91#2526",
"102260355","91#2528",
"102261218","72#610","39"
"102261218","1001#234","39"
"102261218","1002#16","5"
"102261218","10#70","14"
"102261218","30#10",
"102261218","30#60",
"102261218","30#50",
"102261218","30#40",
"102261218","30#30",
"102261218","70#40",
"102261218","70#70",
"102261218","70#81",
"102261218","70#88",
"102261218","72#170",
"102261218","70#94",
"102261218","70#95",
"102261218","70#270",
"102261218","70#280",
"102261218","70#320",
"102261218","70#2053",
"102261218","60#10",
"102261218","60#20",
"102261218","60#30",
"102261218","60#40",
"102261218","60#100",
"102261218","60#120",
"102261218","60#170",
"102261218","60#200",
"102261218","60#127",
"102261218","60#55",
"102261218","60#143",
"102261218","60#250",
"102261218","74#450",
"102261291","1002#16","5"
"102261291","10#50","2"
"102261291","10#70","8"
"102261291","30#60",
"102261291","30#50",
"102261291","70#88",
"102261291","72#170",
"102261291","70#95",
"102261291","70#320",
"102261291","70#217",
"102261291","60#10",
"102261291","60#20",
"102261291","60#40",
"102261291","60#143",
"102261291","91#2487",
"102261291","91#2489",
"102261291","91#2492",
"102261291","91#2493",
"102261291","91#2509",
"102261291","91#2514",
"102261460","1002#16","5"
"102261460","1002#17","5"
"102261460","70#30",
"102261460","70#40",
"102261460","70#70",
"102261460","70#78",
"102261460","70#94",
"102261460","70#95",
"102261460","60#20",
"102261460","60#30",
"102261460","60#40",
"102261460","60#100",
"102261460","60#130",
"102261460","60#190",
"102261460","60#55",
"102261460","60#319",
"102261460","60#140",
"102261460","60#143",
"102261460","60#145",
"102262108","1002#16","5"
"102262108","1002#17","3"
"102262108","70#70",
"102262108","71#80",
"102262108","70#88",
"102262108","72#170",
"102262108","70#95",
"102262108","70#320",
"102262108","70#217",
"102262108","60#10",
"102262108","60#20",
"102262108","60#100",
"102262108","60#130",
"102262108","60#170",
"102262108","60#55",
"102262108","60#205",
"102262108","74#450",
"102263077","1002#16","5"
"102263077","10#70","254"
"102263077","30#10",
"102263077","30#60",
"102263077","30#50",
"102263077","30#30",
"102263077","70#70",
"102263077","70#110",
"102263077","70#81",
"102263077","73#180",
"102263077","70#88","3"
"102263077","72#170",
"102263077","70#95",
"102263077","70#270",
"102263077","70#280",
"102263077","70#320",
"102263077","70#217",
"102263077","60#20",
"102263077","60#40",
"102263077","60#120",
"102263077","60#170",
"102263077","60#55",
"102263077","60#143",
"102263077","60#250",
"102263077","60#306",
"102263077","73#149",
"102263077","73#395",
"102263077","70#470",
"102263077","91#2487",
"102263077","91#2489",
"102263077","91#2492",
"102263077","91#2493",
"102263077","91#2509",
"102263077","91#2514",
"102263077","91#2516",
"102263077","91#2519",
"102263077","91#2528",
"102263692","1002#16","5"
"102263692","1002#17","5"
"102263692","10#70","23"
"102263692","30#10",
"102263692","30#60",
"102263692","30#50",
"102263692","70#40",
"102263692","71#80",
"102263692","70#110",
"102263692","70#88",
"102263692","72#170",
"102263692","70#270",
"102263692","70#280",
"102263692","70#310",
"102263692","70#320",
"102263692","73#350",
"102263692","70#217",
"102263692","60#10",
"102263692","60#20",
"102263692","60#30",
"102263692","60#40",
"102263692","60#120",
"102263692","60#170",
"102263692","60#200",
"102263692","60#55",
"102263692","60#205",
"102263692","60#250",
"102263692","80#262",
"102263692","80#261",
"102263692","60#313",
"102263692","60#306",
"102263692","73#149",
"102263692","73#395",
"102263692","73#400",
"102263692","74#420",
"102263692","74#440",
"102263692","74#450",
"102263692","90#260",
"102263692","90#280",
"102263692","70#470",
"102263692","90#310",
"102263692","90#390",
"102263692","90#198",
"102263692","91#2487",
"102263692","91#2489",
"102263692","91#2492",
"102263692","91#2493",
"102263692","91#2509",
"102263692","91#2514",
"102263692","91#2516",
"102263692","91#2519",
"102263692","91#2526",
"102263692","91#2528",
"102266408","1002#16","5"
"102266408","70#40",
"102266408","72#170",
"102266408","70#95",
"102266408","70#320",
"102266408","70#2053",
"102266408","60#100",
"102266408","60#306",
"102267921","1002#16","5"
"102267921","10#50",
"102267921","10#70","2"
"102267921","30#60",
"102267921","30#50",
"102267921","70#95",
"102267921","70#320",
"102267921","70#2053",
"102267921","60#10",
"102267921","60#20",
"102267921","60#130",
"102267921","60#55",
"102267921","60#319",
"102268044","72#610","7"
"102268044","1001#234","7"
"102268044","1002#16","5"
"102268044","10#20","2015"
"102268044","10#50","9"
"102268044","10#70","105"
"102268044","30#10",
"102268044","30#60",
"102268044","30#50",
"102268044","30#40",
"102268044","30#30",
"102268044","70#40",
"102268044","70#70",
"102268044","70#80",
"102268044","70#81",
"102268044","70#88",
"102268044","72#170",
"102268044","70#95",
"102268044","70#270",
"102268044","70#280",
"102268044","70#320",
"102268044","70#194",
"102268044","70#217",
"102268044","60#10",
"102268044","60#109",
"102268044","60#40",
"102268044","60#120",
"102268044","60#130",
"102268044","60#170",
"102268044","60#200",
"102268044","60#55",
"102268044","60#143",
"102268044","60#313",
"102268044","90#153",
"102268044","74#420",
"102268044","70#470",
"102268044","90#198",
"102269330","72#610","959"
"102269330","1001#234","959"
"102269330","1002#16","5"
"102269330","10#20","2014"
"102269330","10#50","2"
"102269330","10#70","97"
"102269330","30#60",
"102269330","30#50",
"102269330","70#40",
"102269330","70#81",
"102269330","70#88",
"102269330","72#170",
"102269330","70#95",
"102269330","70#270",
"102269330","70#320",
"102269330","70#217",
"102269330","70#2053",
"102269330","60#10",
"102269330","60#20",
"102269330","60#30",
"102269330","60#40",
"102269330","60#120",
"102269330","60#170",
"102269330","60#200",
"102269330","60#127",
"102269330","60#55",
"102269330","60#143",
"102269330","60#250",
"102269330","60#306",
"102269330","70#470",
"102269584","1002#16","5"
"102269584","1002#17","4"
"102269584","70#81",
"102269584","70#88",
"102269584","70#94",
"102269584","70#95",
"102269584","70#320",
"102269584","60#10",
"102269584","60#20",
"102269584","60#40",
"102269584","60#100",
"102269584","60#120",
"102269584","60#170",
"102269584","60#127",
"102269584","60#55",
"102269584","60#205",
"102269584","80#30",
"102269584","60#306",
"102269584","74#420",
"102269584","74#450",
"102269584","70#470",
"102271743","1002#16","5"
"102271743","1002#17","5"
"102271743","70#40",
"102271743","70#70",
"102271743","70#88",
"102271743","72#170",
"102271743","70#95",
"102271743","70#320",
"102271743","70#217",
"102271743","60#306",
"102271743","91#2487",
"102271743","91#2489",
"102271743","91#2493",
"102271743","91#2509",
"102271743","91#2514",
"102271743","91#2516",
"102271743","91#2519",
"102271743","91#2526",
"102272123","1001#11","0"
"102272123","1001#234","971"
"102272123","1002#16","5"
"102272123","1002#17","5"
"102272123","10#70","566"
"102272123","20#31",
"102272123","20#32",
"102272123","20#46",
"102272123","20#202",
"102272123","1006#62",
"102272123","1006#63",
"102272123","1006#64",
"102272123","70#67",
"102272123","70#40",
"102272123","70#70",
"102272123","70#110",
"102272123","70#80",
"102272123","70#81",
"102272123","70#88","3"
"102272123","70#89",
"102272123","70#93",
"102272123","72#170","7"
"102272123","70#95",
"102272123","70#270",
"102272123","70#280",
"102272123","70#320",
"102272123","73#340",
"102272123","70#217",
